hospitalName,streetAddress,city,state,postalCode,phoneNo
Mountain Medical Urgent Care - Malone,3372 State Rt 11 Suite H - Cedar Commons,Malone,NY,12953,518-521-3322
Nassau Immediate Medical Care,465 Willis Ave.,Williston Park,NY,11596-1724,
First Stop Medical Care PC,154 Brown Rd.,Stillwater,NY,12170-2014,518-452-2597
Pulse-MD Urgent Care,900 Route 376 Suite H,Wappingers Falls,NY,12590-6496,845-204-9260
Immediate Care East Walk In,1600 Moseley Rd.,Victor,NY,14564-9799,585-398-1275
Long Island Family Medical Group & Urgent Care,631 Lake Ave.,Saint James,NY,11780-1964,631-862-6060
East Tremont Urgent Care,3594 E Tremont Ave.,Bronx,NY,10465-2032,718-764-1633
Nassau South Walkin Medical Urgent Care,808A Hicksville Road,Massapequa,NY,11758,516-597-4242
Priority Pediatrics,444 Merrick Rd. Suite LL2,Lynbrook,NY,11563-2400,516-599-5437
Healthworks Wellness and Fitness Center,9768 Liberty Dr.,Painted Post,NY,14870-9094,607-937-5555
The Med Station,480 Forest Ave,Locust Valley,NY,11560,516-759-5406
Medicenter,234 W Jericho Tpke.,Huntington Station,NY,11746-3661,631-423-5400
Doc Care,6555 Fresh Pond Rd.,Ridgewood,NY,11385,718-497-1919
Premier Care of Syosset,358 Jericho Turnpike,Syosset,NY,11791,516-677-9200
Queens Long Island Medical Group,260 W Sunrise Hwy. Suite 200,Valley Stream,NY,11581-1015,516-825-3600
Eastchester Urgent Care,369 White Plains Rd,Eastchester,NY,10709-2805,914-337-8743
Riverdale Urgent Care,5665 Riverdale Avenue,Bronx,NY,10471,347-913-4242
Gowanda Urgent Care & Medical Center,34 Commercial St.,Gowanda,NY,14070,716-532-8100
Faxton St Lukes Health Care,1676 Sunset Ave.,Utica,NY,13502-5416,315-624-6000
Prompt Care MD,1037 Fulton Street,Farmingdale,NY,11735,631-576-4190
Primecare,155 W Dominick St.,Rome,NY,13440-5854,
Med Ready Urgent Care Medical,19472 US Route 11,Watertown,NY,13601-5387,315-779-1104
Crouse Prompt Care,739 Irving Ave.,Syracuse,NY,13210-1651,315-470-2951
Community Care Physicians,250 Delaware Ave.,Delmar,NY,12054-1420,518-439-8077
VA Fonda Clinic,2623 State Highway 30a,Fonda,NY,12068-5961,518-853-1247
MinuteClinic,1361 Hylan Blvd,Staten Island,NY,10305,866-389-2727
Queens Long Island Medical Group,8615 Queens Blvd.,Elmhurst,NY,11373-4427,718-899-6600
Split Rock Urgent Care,66 Split Rock Rd.,Syosset,NY,11791-2628,516-921-3131
North Bronx Healthcare Clinic,705 E 180th St.,Bronx,NY,10457-3601,718-561-2000
Cortland Prompt Care,134 Homer Ave.,Cortland,NY,13045-1206,607-756-3500
Concentra Urgent Care,687 Lee Rd Suite 208,Rochester,NY,14606,585-458-7910
Doctors Immedicare,199 Hempstead Tpke.,West Hempstead,NY,11552-1536,516-565-4110
VA Carmel Clinic,1875 Route 6 Suite 2,Carmel,NY,10512-2316,
Premier Care of Maspeth,7425 Grand Ave.,Maspeth,NY,11373-4126,718-803-2273
MASH Urgent Care,3890 Sheridan Drive,Amherst,NY,14226,716-929-2800
Malta Medical Care,2554 State Route 9,Ballston Spa,NY,12020-6312,518-899-5002
Mountain Medical Urgent Care,1927 Saranac Ave. Suite 100,Lake Placid,NY,12946-1112,518-523-7575
Family Medical & Urgent Care,24818 Union Tpke.,Bellerose,NY,11426-1837,718-347-7621
Thompson Health Urgent Care,1160 Corporate Dr.,Farmington,NY,14425-9534,585-924-1510
Advantage Care Physicians,4771 Hylan Blvd.,Staten Island,NY,10312-6315,718-948-8413
Pulse-MD Urgent Care,572 Route 6,Mahopac,NY,10541,845-621-3100
Orange Urgent Care,75 Crystal Run Rd. Suite G40,Middletown,NY,10941-7013,845-703-2273
PM Pediatrics,210-31 26th Ave.,Bayside,NY,11360-1949,718-747-5437
Island Urgent Medical Care,1228 E Main St. Suite C,Riverhead,NY,11901-2677,631-603-3400
Rondout Valley Prompt Care,10 Gagnon Drive,Stone Ridge,NY,12484,845-377-1149
