Name,Address,phone,fax,speciality,NpiNumber,lbn,dba,authOfficialName,entity,organizationSubpart,enumeratioDate,lastUpdated,identifiers
4C URGENT CARE LBN 4C MEDICAL GROUP PLC, 36889 N. TOM DARLINGTON DR STE A-4 CAREFREE AZ 85377-5925,480-488-9220,480-488-7014,Urgent Care,1669916607,4C MEDICAL GROUP PLC,4C URGENT CARE,VARESH CHAURASIA - (CEO),Organization,No,12/09/2016,03/29/2018 - About 2 weeks ago,n/a
4CARE WALK IN CLINIC LBN MEDICAL TECHNOLOGY TRANSFER CORPORATION, 590 MALABAR RD SE SUITE 7 PALM BAY FL 32907-3108,321-676-3535,321-676-3575,Urgent Care,1679742787,MEDICAL TECHNOLOGY TRANSFER CORPORATION,4CARE WALK IN CLINIC,KAREN MCCAHILL - (CONTROLLER),Organization,Yes,02/22/2008,08/22/2008 - About 10 years ago,n/a
5 MINUTE CLINIC, 150 N MAIN ST STE 105 HEBER CITY UT 84032-1670,435-654-1377,,Urgent Care,1235546797,5 MINUTE CLINIC,,ELMER SISNEROS - (CEO),Organization,No,07/16/2014,07/16/2014 - About 4 years ago,UT License # 3140981206
5 MINUTE CLINIC LBN LOGAN URGENT CARE, 981 S MAIN ST SUITE #180 LOGAN UT 84321-6053,435-753-2848,435-753-0155,Urgent Care,1235401126,LOGAN URGENT CARE,5 MINUTE CLINIC,CHRISTOPHER MORGAN - (OWNER/MEDICAL DIRECTOR),Organization,No,02/07/2012,02/07/2012 - About 6 years ago,n/a
6730 W CAMELBACK ROAD LLC DBA INSTANTMED HEALTH CENTER, 5104 N 67TH AVE GLENDALE AZ 85303,602-899-4404,602-899-4408,Urgent Care,1932581766,6730 W CAMELBACK ROAD LLC DBA INSTANTMED HEALTH CENTER,,RAJIV SIDDARAMU - (DIRECTOR),Organization,No,06/29/2015,08/19/2015 - About 3 years ago,n/a
7-24 URGENT CARE LLC, 7900 NW 33RD ST SUITE 101 HOLLYWOOD FL 33024-2209,305-702-9441,305-702-9442,Urgent Care,1528482593,7-24 URGENT CARE LLC,,HUMBERTO URBINA - (PRESIDENT),Organization,No,02/12/2014,02/12/2014 - About 4 years ago,n/a
"7 DAY CLINIC LBN HANS BJELLUM, MD, PC", 1361 WENNER RD DETROIT LAKES MN 56501-7918,218-846-9981,,Urgent Care,1255587929,"HANS BJELLUM, MD, PC",7 DAY CLINIC,HANS BJELLUM - (PRESIDENT),Organization,No,08/14/2008,08/14/2008 - About 10 years ago,n/a
"7 DAY CLINIC LBN HANS BJELLUM, MD, PC", 1101 S COLUMBIA RD GRAND FORKS ND 58201-4055,701-738-0095,,Urgent Care,1346496015,"HANS BJELLUM, MD, PC",7 DAY CLINIC,HANS BJELLUM - (PRESIDENT),Organization,No,08/14/2008,08/14/2008 - About 10 years ago,n/a
"7 DAY CLINIC LBN HANS BJELLUM, MD, PC", 4622 40TH AVE S FARGO ND 58104-4394,701-232-6211,,Urgent Care,1619123593,"HANS BJELLUM, MD, PC",7 DAY CLINIC,HANS BJELLUM - (PRESIDENT),Organization,No,08/12/2008,08/12/2008 - About 10 years ago,n/a
"7 DAY CLINIC LBN HANS BJELLUM, MD, PC", 720 MAIN AVE MOORHEAD MN 56560-2752,701-232-6211,,Urgent Care,1790931467,"HANS BJELLUM, MD, PC",7 DAY CLINIC,HANS BJELLUM - (PRESIDENT),Organization,No,08/14/2008,08/14/2008 - About 10 years ago,n/a
7-DAY CLINIC LBN HANS BJELLUM MD PC, 1100 19TH AVE N SUITE L&M FARGO ND 58102-5906,701-364-2909,701-364-9346,Urgent Care,1841547387,HANS BJELLUM MD PC,7-DAY CLINIC,HANS BJELLUM - (MEDICAL DIRECTOR),Organization,No,08/14/2012,08/14/2012 - About 6 years ago,MN Medicaid 10131 ND Medicaid 10133 ND Medicaid 10141
"7 DAY CLINIC LBN HANS BJELLUM, MD, PC", 1517 32ND AVE S FARGO ND 58103-5905,701-232-6211,,Urgent Care,1851547160,"HANS BJELLUM, MD, PC",7 DAY CLINIC,HANS BJELLUM - (PRESIDENT),Organization,No,08/18/2008,08/18/2008 - About 10 years ago,n/a
"711 PEDICARE LBN CONVENIENT PEDIATRIC CARE GROUP, LLC", 209 HARVARD ST SUITE 407 BROOKLINE MA 02446-5071,617-366-6129,617-608-5951,Urgent Care,1629477989,"CONVENIENT PEDIATRIC CARE GROUP, LLC",711 PEDICARE,JOCELYN JOSEPH - (OWNER),Organization,No,08/22/2014,08/22/2014 - About 4 years ago,MA License # MA 156328
828 URGENT CARE LBN NEXT STEP MEDICAL INC., 4171 OCEANSIDE BLVD. SUITE 109 OCEANSIDE CA 92056,760-216-6253,760-216-6283,Urgent Care,1164730404,NEXT STEP MEDICAL INC.,828 URGENT CARE,KARI KNOWLES - (PRESIDENT),Organization,No,09/21/2010,11/03/2015 - About 2 years ago,n/a
"910 RAPID CARE, LLC", 910 BOARDMAN CANFIELD RD BOARDMAN OH 44512-4218,330-565-4999,,Urgent Care,1649693094,"910 RAPID CARE, LLC",,GEORGE ELLIS - (M.D.),Organization,Yes,01/21/2014,01/21/2014 - About 4 years ago,n/a
911 URGENT CARE ON PARK BLVD LBN 911 URGENT CONVENIENT CARE CLINICS LLC, 4820 PARK BLVD N PINELLAS PARK FL 33781-3534,727-209-6572,727-209-6685,Urgent Care,1568867273,911 URGENT CONVENIENT CARE CLINICS LLC,911 URGENT CARE ON PARK BLVD,DALE BRAMLET - (CEO),Organization,Yes,10/24/2014,10/24/2014 - About 3 years ago,n/a
"99W URGENT CARE AND HEALTH CENTER LBN CONCIERGEHEALTH, LLC", 11820 SW KING JAMES PL SUITE 30 KING CITY OR 97224-2480,971-226-2613,,Urgent Care,1962628008,"CONCIERGEHEALTH, LLC",99W URGENT CARE AND HEALTH CENTER,DAT TRAN - (PRESIDENT),Organization,Not specified,04/17/2007,07/09/2007 - About 11 years ago,OR License # MD25886
A MEDICAL CORPORATION LBN OCCUPATIONAL HEALTH CENTERS OF CALIFORNIA, 9500 STOCKDALE HWY SUITES 100 & 103 BAKERSFIELD CA 93311,661-326-7536,661-321-0690,"Health Service,Occupational Medicine,Physical Therapy,Urgent Care",1083805444,OCCUPATIONAL HEALTH CENTERS OF CALIFORNIA,A MEDICAL CORPORATION,TOM FOGARTY - (PRESIDENT),Organization,No,08/09/2007,02/23/2009 - About 9 years ago,n/a
"A PLUS FAMILY CARE LBN A PLUS URGENT CARE, PLLC", 127 EAST MAIN STREET SUITE 100 YOUNGSVILLE NC 27596,919-556-1008,919-263-9377,"Internal Medicine,Urgent Care",1811255219,"A PLUS URGENT CARE, PLLC",A PLUS FAMILY CARE,PAUL BURROUGHS - (OWNER),Organization,No,04/24/2012,08/05/2014 - About 4 years ago,NC Medicaid 5920798 NC Other 026N4 BCNC
A PLUS FAMILY URGENT CARE LLC, 3345 S DALE MABRY HWY TAMPA FL 33629-7817,813-234-0100,,Urgent Care,1467838862,A PLUS FAMILY URGENT CARE LLC,,JAMES LOWRANCE - (DIRECTOR OF CLINIC OPERATIONS),Organization,No,08/07/2015,09/21/2016 - More than a year ago,n/a
A PLUS MINOR EMERGENCY WALK IN CLINIC, 916 N MAIN ST ALTUS OK 73521-3118,580-480-0033,580-480-0044,Urgent Care,1740615426,A PLUS MINOR EMERGENCY WALK IN CLINIC,,ANTHONY NEAL - (OWNER/MANAGER),Organization,No,09/12/2013,12/26/2014 - About 3 years ago,OK License # OK3838
A PLUS URGENT CARE LLC, 976 MOUNTAIN CITY HWY ELKO NV 89801-2728,775-777-7587,775-738-9584,Urgent Care,1073939609,A PLUS URGENT CARE LLC,,LORI AYALA - (OWNER/MANAGER),Organization,No,03/06/2014,12/23/2014 - About 3 years ago,NV License # NV20131206738
"A PLUS URGENT CARE OF HOLLYWOOD, LLC", 1531 N FEDERAL HWY HOLLYWOOD FL 33020-2849,954-663-5066,,Urgent Care,1518149657,"A PLUS URGENT CARE OF HOLLYWOOD, LLC",,DEREK GOETZ - (MGRM),Organization,No,11/30/2007,04/17/2013 - About 5 years ago,n/a
"A PLUS WALK-IN URGENT CARE MEDICAL CLINIC, APC", 29955 TECHNOLOGY DR SUITE 111 MURRIETA CA 92563-2637,951-696-7587,951-894-2231,Urgent Care,1215471818,"A PLUS WALK-IN URGENT CARE MEDICAL CLINIC, APC",,DONALD KIMES - (MEDICAL DIRECTOR),Organization,No,12/15/2016,12/15/2016 - More than a year ago,n/a
"A PLUS WALK-IN URGENT CARE MEDICAL CLINIC, APC", 41880 KALMIA ST SUITE 100 MURRIETA CA 92562-8831,951-696-7587,951-461-6973,Urgent Care,1538604780,"A PLUS WALK-IN URGENT CARE MEDICAL CLINIC, APC",,DONALD KIMES - (MEDICAL DIRECTOR),Organization,No,12/27/2016,12/27/2016 - More than a year ago,n/a
"A PLUS WALK-IN URGENT CARE MEDICAL CLINIC, APC", 31571 CANYON ESTATES DR SUITE 100 LAKE ELSINORE CA 92532-0468,951-696-7587,951-245-8880,Urgent Care,1659815256,"A PLUS WALK-IN URGENT CARE MEDICAL CLINIC, APC",,DONALD KIMES - (MEDICAL DIRECTOR),Organization,No,12/15/2016,12/15/2016 - More than a year ago,n/a
"A PLUS WALK-IN URGENT CARE MEDICAL CLINIC, APC", 26926 CHERRY HILLS BLVD SUITE A MENIFEE CA 92586-2500,951-696-7587,951-566-5367,Urgent Care,1912441510,"A PLUS WALK-IN URGENT CARE MEDICAL CLINIC, APC",,DONALD KIMES - (MEDICAL DIRECTOR),Organization,No,12/15/2016,12/15/2016 - More than a year ago,n/a
A WAHID MD INC LBN A WAHID MD INC A PROFESSIONAL MEDICAL CORPORATION, 1108 WARD AVE BLDG A STE 2 PATTERSON CA 95363-8529,209-892-1300,,Urgent Care,1861734436,A WAHID MD INC A PROFESSIONAL MEDICAL CORPORATION,A WAHID MD INC,ALI ABDUL WAHID - (PRESIDENT),Organization,No,03/21/2013,02/18/2015 - About 3 years ago,CA License # A106703
A WALK-IN MEDICAL CENTER LLC, 365 WILLARD AVE STE 2E NEWINGTON CT 06111-2316,860-436-3226,860-436-3229,Urgent Care,1043346539,A WALK-IN MEDICAL CENTER LLC,,STUART CALLE - (MEDICAL DIRECTOR),Organization,No,02/26/2007,05/13/2008 - About 10 years ago,CT License # 036038
AAA URGENT CARE 24 HOUR LBN MEHBOOB AHMED, 2500 N VAN DORN ST STE. 106 ALEXANDRIA VA 22302-1626,703-354-6665,,Urgent Care,1104004092,MEHBOOB AHMED,AAA URGENT CARE 24 HOUR,MEHBOOB AHMED - (OWNER),Organization,No,02/04/2008,02/04/2008 - About 10 years ago,VA License # 0101033871 VA Other 220480 BLUECROSSBLUESHIELD
AAA URGENT CARE LLC, 14400 ROSCOE BLVD SUITE D PANORAMA CITY CA 91402-3001,818-704-4213,,Urgent Care,1700192192,AAA URGENT CARE LLC,,EVELYN GATUS - (CHIEF FINANCIAL OFFICER),Organization,No,08/24/2010,08/24/2010 - About 8 years ago,n/a
ABC MEDICAL CORPORATION, 1701 E FLORIDA AVE HEMET CA 92544-4632,951-652-2228,951-925-1026,Urgent Care,1174803043,ABC MEDICAL CORPORATION,,ANIL RASTOGI - (CFO),Organization,No,08/24/2011,08/24/2011 - About 7 years ago,n/a
ABINGTON HEALTH URGENT CARE LBN ABINGTON MEMORIAL HOSPITAL, 1820 BETHLEHEM PIKE FLOURTOWN PA 19031-1504,215-836-1354,215-836-2605,Urgent Care,1033536859,ABINGTON MEMORIAL HOSPITAL,ABINGTON HEALTH URGENT CARE,MICHAEL WALSH - (SENIOR VICE PRESIDENT FINANCE),Organization,Yes,03/19/2014,05/28/2014 - About 4 years ago,n/a
ABINGTON HEALTH URGENT CARE LBN ABINGTON MEMORIAL HOSPITAL, 1045 BUSTLETON PIKE FEASTERVILLE-TREVOSE PA 19053-7676,215-481-3900,215-481-6790,Urgent Care,1104257393,ABINGTON MEMORIAL HOSPITAL,ABINGTON HEALTH URGENT CARE,MICHAEL WALSH - (SENIOR VP FINANCE),Organization,Yes,12/12/2013,12/23/2013 - About 4 years ago,n/a
ABINGTON HEALTH URGENT CARE LBN ABINGTON MEMORIAL HOSPITAL, 2603 EASTON RD WILLOW GROVE PA 19090-1009,215-481-2173,,Urgent Care,1255793428,ABINGTON MEMORIAL HOSPITAL,ABINGTON HEALTH URGENT CARE,MICHAEL WALSH - (SENIOR VP FINANCE),Organization,No,03/25/2016,09/14/2016 - More than a year ago,n/a
ABLE ACUPUNCTURE, 2015 MADISON ST 202 HOLLYWOOD FL 33020-6974,954-394-4038,954-239-5433,"Acupuncturist,Case Management,Clinical Medical Laboratory,Corporate Health,Home Health,Magnetic Resonance Imaging (MRI),Medicare Defined Swing Bed Unit,Multi-Specialty,Physical Therapy,Point of Service,Recovery Care,Rehabilitation Unit,Rehabilitation, Substance Use Disorder Unit,Urgent Care,Voluntary or Charitable",1255581500,ABLE ACUPUNCTURE,,MICHELE BOURGOUIN - (OWNER),Organization,No,09/23/2008,09/23/2008 - About 10 years ago,FL License # AP2457 FL Other 1316136864 NPI FOR MICHELE BOURGOUIN
ABRAZO MEDICAL GROUP URGENT CARE LLC, 6565 E GREENWAY PKWY SUITE 102 SCOTTSDALE AZ 85254-2073,615-665-6000,615-665-6184,"Urgent Care,Family Medicine",1174847016,ABRAZO MEDICAL GROUP URGENT CARE LLC,,CAROL BAILEY - (VICE PRESIDENT),Organization,No,03/22/2010,07/28/2016 - More than a year ago,AZ Medicaid 526251
ABSOLUTE HEALTH FAMILY & URGENT CARE LLC, 7574 GA 85 RIVERDALE GA 30274-3447,000-000-0000,404-393-7144,"Family,Urgent Care",1851894588,ABSOLUTE HEALTH FAMILY & URGENT CARE LLC,,ERNEST AMUKAMARA - (PRESIDENT),Organization,No,03/08/2018,03/08/2018 - About a month ago,GA License # RN201832 GA Medicaid 817526188G GA Other 1356529101 NPI
"ABSOLUTE QUICK CARE, LLC", 1665 SW HIGHWAY 484 SUITE 105 OCALA FL 34473-1995,352-854-5532,352-854-5530,Urgent Care,1154604072,"ABSOLUTE QUICK CARE, LLC",,YOUSEF ELYAMAN - (PRESIDENT),Organization,No,09/27/2011,11/17/2011 - About 6 years ago,n/a
ABSOLUTE URGENT CARE INC, 800 W HIGHWAY 82 GAINESVILLE TX 76240-2524,580-223-8614,580-223-2561,Urgent Care,1831504000,ABSOLUTE URGENT CARE INC,,ABDUL KHAN - (CEO / OWNER),Organization,No,06/26/2014,09/18/2014 - About 4 years ago,TX License # K8251 TX Other 829380 TEXAS LICENSE TX Other K8251 TEXAS LICENSE TX Other P5916 TEXAS LICENSE
"ABSOLUTE URGENT CARE,LLC", 9685 LAKE NONA VILLAGE PL UNIT #10 ORLANDO FL 32827-7320,407-852-4000,,Urgent Care,1053749549,"ABSOLUTE URGENT CARE,LLC",,TURI MAKI - (OWNER),Organization,No,10/22/2013,10/22/2013 - About 4 years ago,FL License # OS10373 FL Other 1205032760 NA
ACADIAN MEDICAL PROVIDER, 1158 FORT ST LINCOLN PARK MI 48146-1840,313-399-4491,248-494-7440,Urgent Care,1720456866,ACADIAN MEDICAL PROVIDER,,EQDAM RAHDI - (MD),Organization,No,09/07/2015,09/07/2015 - About 3 years ago,MI License # 4301088706 MI Medicaid 4301088706
ACADIAN URGENT CARE, 14726 CHAMPAIGN RD ALLEN PARK MI 48101-1616,313-789-7968,,Urgent Care,1013466861,ACADIAN URGENT CARE,,EQDAM RHADI - (PHYSICIAN),Organization,No,09/21/2016,12/08/2016 - More than a year ago,MI License # 5601007954
"ACADIAN URGENT CARE CENTER, LLC", 600 N LEWIS ST NEW IBERIA LA 70563-2043,337-519-1999,337-229-1159,Urgent Care,1346752938,"ACADIAN URGENT CARE CENTER, LLC",,WILFORD STOKES - (MEMBER/MANAGER),Organization,No,11/03/2017,11/03/2017 - About 5 months ago,n/a
"ACADIANA AFTER HOURS LBN ACADIANA AFTER HOURS, LLC", 155 ODD FELLOWS RD CROWLEY LA 70526-2204,337-514-5200,337-514-2151,"Family,Emergency Medicine,Urgent Care",1780054221,"ACADIANA AFTER HOURS, LLC",ACADIANA AFTER HOURS,GERONNA LEONARDS - (PRACTICE ADMINISTRATOR),Organization,No,09/27/2015,09/07/2016 - More than a year ago,n/a
ACADIANA CENTER LLC LBN ACADIANA CENTER LLC, 2501 W PINHOOK RD LAFAYETTE LA 70508-3346,337-269-0136,,Urgent Care,1386066769,ACADIANA CENTER LLC,ACADIANA CENTER LLC,GORDON GIDMAN - (OWNER),Organization,No,01/20/2014,11/06/2017 - About 5 months ago,n/a
"ACADIANA URGENT CARE ASSOCIATES, LLC"," 4906 AMBASSADOR CAFFERY PKWY BUILDING C, SUITE 350 LAFAYETTE LA 70508",337-981-4675,337-981-4678,Urgent Care,1407070527,"ACADIANA URGENT CARE ASSOCIATES, LLC",,MARC LAPOINTE - (MEMBER),Organization,No,04/12/2007,03/06/2012 - About 6 years ago,n/a
ACCELCARE LBN EXCEL MEDICAL CARE PC, 3400 MONROE AVE ROCHESTER NY 14618-4725,703-533-5534,,Urgent Care,1396988176,EXCEL MEDICAL CARE PC,ACCELCARE,GREG DIFRANCESCO - (MEDICAL DIRECTOR),Organization,No,04/09/2009,10/20/2014 - About 3 years ago,n/a
ACCELERATED URGENT CARE LBN EMERGENCY PHYSICIANS URGENT CARE INC, 4871 WHITE LN BAKERSFIELD CA 93309-6375,661-832-1679,661-832-1746,Urgent Care,1083073175,EMERGENCY PHYSICIANS URGENT CARE INC,ACCELERATED URGENT CARE,ARTIN MASSIHI - (OWNER),Organization,No,02/17/2016,02/17/2016 - About 2 years ago,n/a
ACCELERATED URGENT CARE LBN EMERGENCY PHYSICIANS URGENT CARE INC, 2400 K ST BAKERSFIELD CA 93301-4030,661-829-6747,661-829-6937,Urgent Care,1346769080,EMERGENCY PHYSICIANS URGENT CARE INC,ACCELERATED URGENT CARE,ARTIN MASSIHI - (OWNER/PRESIDENT),Organization,No,09/13/2017,09/13/2017 - About 7 months ago,n/a
ACCELERATED URGENT CARE LBN EMERGENCY PHYSICIANS URGENT CARE INC, 9917 OLIVE DR BAKERSFIELD CA 93312-9729,661-829-6747,661-829-6937,Urgent Care,1366961914,EMERGENCY PHYSICIANS URGENT CARE INC,ACCELERATED URGENT CARE,ARTIN MASSIHI - (OWNER/PRESIDENT),Organization,No,09/14/2017,09/14/2017 - About 7 months ago,n/a
ACCELERATED URGENT CARE LBN EMERGENCY PHYSICIANS URGENT CARE INC., 9500 STOCKDALE HWY SUITE 100 BAKERSFIELD CA 93311-3620,661-735-3943,661-381-7594,Urgent Care,1629442728,EMERGENCY PHYSICIANS URGENT CARE INC.,ACCELERATED URGENT CARE,ARTIN MASSIHI - (OWNER & PRESIDENT),Organization,No,11/30/2015,09/13/2017 - About 7 months ago,n/a
ACCELERATED URGENT CARE LBN EMERGENCY PHYSICIANS URGENT CARE INC., 9710 BRIMHALL RD BAKERSFIELD CA 93312-2779,661-829-6747,,Urgent Care,1689963845,EMERGENCY PHYSICIANS URGENT CARE INC.,ACCELERATED URGENT CARE,ARTIN MASSIHI - (PHYSICIAN),Organization,No,03/28/2011,07/21/2014 - About 4 years ago,CA License # 2OA9426 CA License # A93181
"ACCENT URGENT CARE & AFTER HOURS PEDIATRICS, PA", 212 ASHVILLE AVE SUITE 10 CARY NC 27518-6669,919-859-1136,919-859-4240,Urgent Care,1639278757,"ACCENT URGENT CARE & AFTER HOURS PEDIATRICS, PA",,LOUISE MORRIS - (CREDENTIALING COORDINATOR),Organization,No,09/22/2006,08/10/2010 - About 8 years ago,n/a
ACCESS 365 URGENT CARE LBN ACCESS 365 URGENT CARE LLC, 2339 SW MARTIN HWY PALM CITY FL 34990-3222,772-222-5302,772-872-5151,Urgent Care,1992242895,ACCESS 365 URGENT CARE LLC,ACCESS 365 URGENT CARE,ROBERT MCLAUGHLIN - (OWNER),Organization,No,01/30/2017,01/30/2017 - More than a year ago,n/a
ACCESS FIRST URGENT CARE LBN APEX HEALTHCARE MEDICAL CENTER INC, 1525 W FLORIDA AVE SUITE D HEMET CA 92543-3825,951-929-6777,951-658-8390,"Specialist,Urgent Care",1447455423,APEX HEALTHCARE MEDICAL CENTER INC,ACCESS FIRST URGENT CARE,ROSE GUTIERREZ - (MANAGER),Organization,Yes,06/19/2007,09/13/2013 - About 5 years ago,CA License # A118890 CA Medicaid 1447455423 CA Other P00ZZ0081 MEDICARE RAILROAD
