name,officePhone,Officefax,Website,Email,lastUpdated,companyType,hospitalOwnedorAffiliated,hoursOfOperation,UCAOACertifiedUrgentCareIssued,certificationValidThrough,aboutTheCompany,companyCategories,city,state,country,zip,Address1,Address2,url
NEXTCARE URGENT CARE CHANDLER,480 814-1560 (Phone),,http://www.nextcare.com/,davidpatterson@nextcare.com,12/22/2017,Member Clinic,,,,,,,Chandler,Arizona,United States,85224-5690,600 S Dobson Rd,Ste C26,http://ucaoa.site-ym.com/members/?id=15420297
NEXTCARE URGENT CARE: FAYETTEVILLE,910 483-4647 (Phone),,http://www.nextcare.com/,scottwalter@nextcare.com,12/22/2017,Member Clinic,,,,,,,Fayetteville,North Carolina,United States,28314-0892,217 Glensford Dr,,http://ucaoa.site-ym.com/members/?id=15420301
NEXTCARE URGENT CARE: DUMFRIES,571 499-5813 (Phone),,http://www.nextcare.com/,scottwalter@nextcare.com,12/22/2017,Member Clinic,,,2011 - Q1,2014 - Q1,,,Dumfries,Virginia,United States,22025-1997,3990 Fettler Park Dr,Bldg B,http://ucaoa.site-ym.com/members/?id=15420302
NEXTCARE URGENT CARE CASA GRANDE,520 876-0800 (Phone),"
520 876-0801 (Fax)",http://www.nextcare.com/,Charlottewoodring@nextcare.com,12/22/2017,Member Clinic,,,,,,,Casa Grande,Arizona,United States,85122-4813,1683 E Florence Blvd,Ste 7,http://ucaoa.site-ym.com/members/?id=15420303
NEXTCARE URGENT CARE: FREDERICKSBURG,540 785-3448 (Phone),,http://www.nextcare.com/,scottwalter@nextcare.com,12/22/2017,Member Clinic,,,2011 - Q1,2014 - Q1,,,Fredericksburg,Virginia,United States,22407,5825 Plank Road,Ste 105,http://ucaoa.site-ym.com/members/?id=15420304
NEXTCARE URGENT CARE: GARNER,919 779-5010 (Phone),,http://www.nextcare.com/,scottwalter@nextcare.com,12/22/2017,Member Clinic,,,,,,,Garner,North Carolina,United States,27529-2541,811 US Highway 70 W,,http://ucaoa.site-ym.com/members/?id=15420305
NEXTCARE URGENT CARE: GASTONIA,704 869-9701 (Phone),,http://www.nextcare.com/,scottwalter@nextcare.com,12/22/2017,Member Clinic,,,,,,,Gastonia,North Carolina,United States,28054-1676,3680 Robinwood Rd,,http://ucaoa.site-ym.com/members/?id=15420306
NEXTCARE URGENT CARE: FREDERICKSBURG,540 368-5603 (Phone),,http://www.nextcare.com/,scottwalter@nextcare.com,12/22/2017,Member Clinic,,,2011 - Q1,2014 - Q1,,,Fredericksburg,Virginia,United States,22406-1231,15 S Gateway Dr,Ste 101,http://ucaoa.site-ym.com/members/?id=15420307
NEXTCARE URGENT CARE: GEORGETOWN,512 930-7828 (Phone),,http://www.nextcare.com/,lisacrawford@nextcare.com,12/22/2017,Member Clinic,,,,,,,Georgetown,Texas,United States,78626-4349,900 N Austin Ave,Ste 105,http://ucaoa.site-ym.com/members/?id=15420308
NEXTCARE URGENT CARE MESA (E. BASELINE RD.),480 539-0204 (Phone),,http://www.nextcare.com/,davidpatterson@nextcare.com,12/22/2017,Member Clinic,,,,,,,Mesa,Arizona,United States,85204-7290,3130 E Baseline Rd,Ste 105,http://ucaoa.site-ym.com/members/?id=15420309
NEXTCARE URGENT CARE GLENDALE (N. 59TH AVE.),602 547-2600 (Phone),,http://www.nextcare.com/,audaewilliams@nextcare.com,12/22/2017,Member Clinic,,,,,,,Glendale,Arizona,United States,85308-1258,18589 N 59th Ave,Ste 101,http://ucaoa.site-ym.com/members/?id=15420310
FASTMED URGENT CARE GOLDSBORO,919 778-0851 (Phone),,http://www.fastmed.com/,a.butterfield@fastmed.com,1/4/2018,Member Clinic,,"as of 9/8/17: M-F: 8am - 8pm, S/S: 8am - 4pm",,,,,Goldsboro,North Carolina,United States,27534-4318,212 N Spence Ave,,http://ucaoa.site-ym.com/members/?id=15420311
NEXTCARE URGENT CARE: GREELEY,970 351-8181 (Phone),,http://www.nextcare.com/,kellismith@nextcare.com,12/22/2017,Member Clinic,,,,,,,Greeley,Colorado,United States,80634,1011 39th Ave.,,http://ucaoa.site-ym.com/members/?id=15420313
NEXTCARE URGENT CARE: LONGMONT,303 772-0041 (Phone),,http://www.nextcare.com/,kellismith@nextcare.com,12/22/2017,Member Clinic,,,,,,,Longmont,Colorado,United States,80501-8403,2144 Main St,Ste 8,http://ucaoa.site-ym.com/members/?id=15420316
NEXTCARE URGENT CARE MESA (POWER),480 807-0130 (Phone),,http://www.nextcare.com/,davidpatterson@nextcare.com,12/22/2017,Member Clinic,,,,,,,Mesa,Arizona,United States,85205-5709,1066 N Power Rd,Ste 101,http://ucaoa.site-ym.com/members/?id=15420317
NEXTCARE URGENT CARE: WOODBRIDGE,703 897-5890 (Phone),,http://www.nextcare.com/,scottwalter@nextcare.com,12/22/2017,Member Clinic,,,2011 - Q1,2014 - Q1,,,Woodbridge,Virginia,United States,22192-5446,12581 Milstead Way,Ste 103,http://ucaoa.site-ym.com/members/?id=15420318
NEXTCARE URGENT CARE PEORIA,623 825-4600 (Phone),,http://www.nextcare.com/,audaewilliams@nextcare.com,12/22/2017,Member Clinic,,,,,,,Peoria,Arizona,United States,85382-9708,20470 N Lake Pleasant Rd,Ste 102,http://ucaoa.site-ym.com/members/?id=15420319
NEXTCARE URGENT CARE PHOENIX (GREENWAY & 32ND),602 788-3285 (Phone),,http://www.nextcare.com/,adriancastro@nextcare.com,12/22/2017,Member Clinic,,,,,,,Phoenix,Arizona,United States,85032-4508,3229 E Greenway Rd,Ste 102,http://ucaoa.site-ym.com/members/?id=15420320
NEXTCARE URGENT CARE PHOENIX (MCDOWELL & 59TH),623 245-0440 (Phone),,http://www.nextcare.com/,audaewilliams@nextcare.com,12/22/2017,Member Clinic,,,,,,,Phoenix,Arizona,United States,85035-4853,5920 W McDowell Rd,,http://ucaoa.site-ym.com/members/?id=15420321
NEXTCARE URGENT CARE PHOENIX (THOMAS),602 845-4445 (Phone),,http://www.nextcare.com/,davidpatterson@nextcare.com,12/22/2017,Member Clinic,,,,,,,Phoenix,Arizona,United States,85016-7646,1701 E Thomas Street,"Building A, Suite 104",http://ucaoa.site-ym.com/members/?id=15420322
NEXTCARE URGENT CARE: RALEIGH,919 846-3522 (Phone),,http://www.nextcare.com/,scottwalter@nextcare.com,12/22/2017,Member Clinic,,,,,,,Raleigh,North Carolina,United States,27615-2496,1911 Falls Valley Dr,Ste 100,http://ucaoa.site-ym.com/members/?id=15420323
NEXTCARE URGENT CARE: RALEIGH,919 872-3959 (Phone),,http://www.nextcare.com/,scottwalter@nextcare.com,12/22/2017,Member Clinic,,,,,,,Raleigh,North Carolina,United States,27609-6227,4100 Wake Forest Rd,,http://ucaoa.site-ym.com/members/?id=15420324
NEXTCARE URGENT CARE: ROUND ROCK,512 733-9100 (Phone),,http://www.nextcare.com/,randygiles@nextcare.com,12/22/2017,Member Clinic,,,,,,,Round Rock,Texas,United States,78664-3202,1240 E Palm Valley Blvd,,http://ucaoa.site-ym.com/members/?id=15420325
NEXTCARE URGENT CARE SCOTTSDALE,480 348-1060 (Phone),,http://www.nextcare.com/,adriancastro@nextcare.com,12/22/2017,Member Clinic,,,,,,,Scottsdale,Arizona,United States,85260-6411,7425 E Shea Blvd,Ste 108,http://ucaoa.site-ym.com/members/?id=15420326
NEXTCARE URGENT CARE: SHELBY,704 481-0555 (Phone),,http://www.nextcare.com/,scottwalter@nextcare.com,12/22/2017,Member Clinic,,,,,,,Shelby,North Carolina,United States,28150-6700,419 Earl Rd,,http://ucaoa.site-ym.com/members/?id=15420327
NEXTCARE URGENT CARE TEMPE,480 924-8382 (Phone),,http://www.nextcare.com/,davidpatterson@nextcare.com,12/22/2017,Member Clinic,,,,,,,Tempe,Arizona,United States,85281,914 N Scottsdale Road,,http://ucaoa.site-ym.com/members/?id=15420328
NEXTCARE URGENT CARE TUCSON (OLD SPANISH TRAIL),520 731-3666 (Phone),,http://www.nextcare.com/,Charlottewoodring@nextcare.com,12/22/2017,Member Clinic,,,,,,,Tucson,Arizona,United States,85748-6630,9525 E Old Spanish Trl,Ste 101,http://ucaoa.site-ym.com/members/?id=15420329
NEXTCARE URGENT CARE TUCSON (PIMA),520 290-0022 (Phone),,http://www.nextcare.com/,Charlottewoodring@nextcare.com,12/22/2017,Member Clinic,,,,,,,Tucson,Arizona,United States,85712-3020,6238 E Pima St,,http://ucaoa.site-ym.com/members/?id=15420330
PHYSICIANS IMMEDIATE CARE ST LUCIE WEST,772 873-8155 (Phone),"
772 873-8858 (Fax)",http://www.immedcare.com/,rebecca.deloach@hcahealthcare.com,12/22/2017,Member Clinic,Y,,2012 - Q4,2018 - Q4,,,Port St Lucie,Florida,United States,34986-2504,1730 SW Saint Lucie West Blvd,,http://ucaoa.site-ym.com/members/?id=15420331
ACCESS MEDICAL CENTERS URGENT CARE: BARTLESVILLE,918 331-9184 (Phone),"
918 331-9187 (Fax)",http://www.nextcare.com/,caraoneal@nextcare.com,12/22/2017,Member Clinic,,,,,,,Bartlesville,Oklahoma,United States,74006-7257,2334 SE Washington Blvd,Ste B,http://ucaoa.site-ym.com/members/?id=15420332
PHYSICIANS IMMEDIATE CARE BELVIDERE,815 544-0040 (Phone),,http://www.physiciansimmediatecare.com/,lswanson@visitphysicians.com,12/22/2017,Member Clinic,,,2016 - Q4,2019 - Q4,,,Belvidere,Illinois,United States,61008-9306,1663  Rd,,http://ucaoa.site-ym.com/members/?id=15420333
PHYSICIANS IMMEDIATE CARE BOLINGBROOK,630 226-1006 (Phone),,http://www.physiciansimmediatecare.com/,lswanson@visitphysicians.com,12/22/2017,Member Clinic,,,2016 - Q4,2019 - Q4,,,Bolingbrook,Illinois,United States,60440-3411,391 S  Dr,,http://ucaoa.site-ym.com/members/?id=15420335
PHYSICIANS IMMEDIATE CARE CHICAGO WEST LOOP,312 506-0900 (Phone),,http://www.physiciansimmediatecare.com/,lswanson@visitphysicians.com,12/22/2017,Member Clinic,,,2016 - Q4,2019 - Q4,,,Chicago,Illinois,United States,60661-3604,600 W Adams St,,http://ucaoa.site-ym.com/members/?id=15420336
PHYSICIANS IMMEDIATE CARE CHICAGO SIX CORNERS,773 794-1000 (Phone),,http://www.physiciansimmediatecare.com/,lswanson@visitphysicians.com,12/22/2017,Member Clinic,,,2016 - Q4,2019 - Q4,,,Chicago,Illinois,United States,60641-1652,4211 N Cicero Ave,Ste 100,http://ucaoa.site-ym.com/members/?id=15420337
PHYSICIANS IMMEDIATE CARE LOVES PARK,815 633-4300 (Phone),,http://www.physiciansimmediatecare.com/,lswanson@visitphysicians.com,12/22/2017,Member Clinic,,,2016 - Q4,2019 - Q4,,,Loves Park,Illinois,United States,61111-4736,1000 E Riverside Blvd,,http://ucaoa.site-ym.com/members/?id=15420338
PHYSICIANS IMMEDIATE CARE ELGIN,224 293-5200 (Phone),,http://www.physiciansimmediatecare.com/,lswanson@visitphysicians.com,12/22/2017,Member Clinic,,,2016 - Q4,2019 - Q4,,,Elgin,Illinois,United States,60124-7898,2490 Bushwood Dr,Ste F,http://ucaoa.site-ym.com/members/?id=15420339
PHYSICIANS IMMEDIATE CARE JOLIET HOUBOLT,815 823-8800 (Phone),,http://www.physiciansimmediatecare.com/,lswanson@visitphysicians.com,12/22/2017,Member Clinic,,,2016 - Q4,2019 - Q4,,,Joliet,Illinois,United States,60431-9215,1360 Houbolt Rd,,http://ucaoa.site-ym.com/members/?id=15420340
PHYSICIANS IMMEDIATE CARE MACHESNEY PARK,815 654-8000 (Phone),,http://www.physiciansimmediatecare.com/,lswanson@visitphysicians.com,12/22/2017,Member Clinic,,,2016 - Q4,2019 - Q4,,,Machesney Park,Illinois,United States,61115-1285,11475 N 2nd St,,http://ucaoa.site-ym.com/members/?id=15420341
PHYSICIANS IMMEDIATE CARE NILES,847 299-0009 (Phone),,http://www.physiciansimmediatecare.com/,lswanson@visitphysicians.com,12/22/2017,Member Clinic,,,2016 - Q4,2019 - Q4,,,Niles,Illinois,United States,60714-5600,8630 W Golf Rd,,http://ucaoa.site-ym.com/members/?id=15420342
PHYSICIANS IMMEDIATE CARE ROCKFORD SOUTH ALPINE,815 395-1100 (Phone),,http://www.physiciansimmediatecare.com/,lswanson@visitphysicians.com,12/22/2017,Member Clinic,,,2016 - Q4,2019 - Q4,,,Rockford,Illinois,United States,61109-2604,3475 S Alpine Rd,,http://ucaoa.site-ym.com/members/?id=15420344
CARESPOT APOPKA,407 478-3202 (Phone),"
407 478-3245 (Fax)",https://www.carespot.com/locations/florida/apopka,carespotcares@gmail.com,12/22/2017,Member Clinic,,,,,,,Apopka,Florida,United States,32703-6041,3840 E Semoran Blvd,Ste 1000,http://ucaoa.site-ym.com/members/?id=15420352
CARESPOT ARLINGTON CESRY,904 743-2466 (Phone),"
904 743-4070 (Fax)",https://www.carespot.com/locations/florida/arlington-cesery,carespotcares@gmail.com,12/22/2017,Member Clinic,,,,,,,Jacksonville,Florida,United States,32211-5609,1021 Cesery Blvd,,http://ucaoa.site-ym.com/members/?id=15420353
CARESPOT BEACH & HODGES,904 954-1700 (Phone),"
904 223-5190 (Fax)",https://www.carespot.com/locations/florida/beach-hodges,carespotcares@gmail.com,12/22/2017,Member Clinic,,,,,,,Jacksonville,Florida,United States,32224-0290,13460 Beach Blvd,Unit 1,http://ucaoa.site-ym.com/members/?id=15420354
CARESPOT BEACHES,904 241-0117 (Phone),"
904 241-0303 (Fax)",https://www.carespot.com/locations/florida/beaches,carespotcares@gmail.com,12/22/2017,Member Clinic,,,,,,,Neptune Beach,Florida,United States,32266-4022,410 Atlantic Blvd,,http://ucaoa.site-ym.com/members/?id=15420355
CARESPOT COCONUT CREEK,954 633-1422 (Phone),"
954 633-1433 (Fax)",https://www.carespot.com/locations/florida/coconut-creek,carespotcares@gmail.com,12/22/2017,Member Clinic,,,,,,,Coconut Creek,Florida,United States,33073,4450 State Road 7,,http://ucaoa.site-ym.com/members/?id=15420356
CARESPOT ARLINGTON MONUMENT,904 642-0337 (Phone),"
904 642-0928 (Fax)",https://www.carespot.com/locations/florida/arlington-monument,carespotcares@gmail.com,12/22/2017,Member Clinic,,,,,,,Jacksonville,Florida,United States,32225-2520,2401 Monument Rd,,http://ucaoa.site-ym.com/members/?id=15420357
CARESPOT EAST SAND LAKE,407 581-9672 (Phone),"
407 581-9673 (Fax)",https://www.carespot.com/locations/florida/east-sand-lake,carespotcares@gmail.com,12/22/2017,Member Clinic,,,,,,,Orlando,Florida,United States,32819-6502,7751 Kingspointe Pkwy,Ste 114,http://ucaoa.site-ym.com/members/?id=15420358
CARESPOT GAINESVILLE,352 371-1777 (Phone),"
352 371-0298 (Fax)",http://www.carespot.com/,carespotcares@gmail.com,12/22/2017,Member Clinic,,,,,,,Gainesville,Florida,United States,32606-4565,3925 NW 43rd St,,http://ucaoa.site-ym.com/members/?id=15420360
CARESPOT GAINESVILLE SHANDS,352 240-8000 (Phone),"
352 377-6039 (Fax)",https://www.carespot.com/locations/florida/gainesville-midtown,carespotcares@gmail.com,12/22/2017,Member Clinic,,,,,,,Gainesville,Florida,United States,32601-1209,720 SW 2nd Ave,Ste 160,http://ucaoa.site-ym.com/members/?id=15420361
CARESPOT HENDRICKS,904 854-1730 (Phone),"
904 402-8000 (Fax)",https://www.carespot.com/locations/florida/san-marco,carespotcares@gmail.com,12/22/2017,Member Clinic,,,,,,,Jacksonville,Florida,United States,32207-6326,4498 Hendricks Ave,,http://ucaoa.site-ym.com/members/?id=15420362
CARESPOT KISSIMMEE,407 452-3700 (Phone),"
407 452-3710 (Fax)",https://www.carespot.com/locations/florida/kissimmee,carespotcares@gmail.com,12/22/2017,Member Clinic,,,,,,,Kissimmee,Florida,United States,34744-1604,14141 E Osceola Pkwy,,http://ucaoa.site-ym.com/members/?id=15420363
CARESPOT LAKE MARY,407 333-0160 (Phone),"
407 333-0108 (Fax)",https://www.carespot.com/locations/florida/lake-mary,carespotcares@gmail.com,12/22/2017,Member Clinic,,,,,,,Lake Mary,Florida,United States,32746-3592,136 Parliament Loop,Ste 1020,http://ucaoa.site-ym.com/members/?id=15420364
CARESPOT MANDARIN,904 288-0277 (Phone),"
904 288-0414 (Fax)",https://www.carespot.com/locations/florida/mandarin,carespotcares@gmail.com,12/22/2017,Member Clinic,,,,,,,Jacksonville,Florida,United States,32223-2640,12303 San Jose Blvd,,http://ucaoa.site-ym.com/members/?id=15420365
CARESPOT METRO WEST,407 362-2030 (Phone),"
407 362-2040 (Fax)",https://www.carespot.com/locations/florida/metro-west,carespotcares@gmail.com,12/22/2017,Member Clinic,,,,,,,Orlando,Florida,United States,32811-2346,2555 S Kirkman Rd,,http://ucaoa.site-ym.com/members/?id=15420366
CARESPOT NORTHSIDE,904 757-2008 (Phone),"
904 757-4623 (Fax)",https://www.carespot.com/locations/florida/northside,carespotcares@gmail.com,12/22/2017,Member Clinic,,,,,,,Jacksonville,Florida,United States,32218-4716,2032 Dunn Ave,,http://ucaoa.site-ym.com/members/?id=15420367
CARESPOT OCALA,352 237-3536 (Phone),"
352 237-8735 (Fax)",https://www.carespot.com/locations/florida/ocala,carespotcares@gmail.com,12/22/2017,Member Clinic,,,,,,,Ocala,Florida,United States,34471-1664,2415 SW College Rd,,http://ucaoa.site-ym.com/members/?id=15420368
CARESPOT ORANGE PARK,904 213-0600 (Phone),,https://www.carespot.com/locations/florida/orange-park,carespotcares@gmail.com,12/22/2017,Member Clinic,,,,,,,Orange Park,Florida,United States,32073-5180,2140 Kingsley Avenue,,http://ucaoa.site-ym.com/members/?id=15420369
CARESPOT PEMBROKE PINES,954 378-0333 (Phone),"
954 378-0330 (Fax)",https://www.carespot.com/locations/florida/pembroke-pines,carespotcares@gmail.com,12/22/2017,Member Clinic,,,,,,,Pembroke Pines,Florida,United States,33024-6440,9035 Pines Blvd,,http://ucaoa.site-ym.com/members/?id=15420371
CARESPOT POMPANO BEACH,954 580-4001 (Phone),"
954 580-0622 (Fax)",https://www.carespot.com/locations/florida/pompano-beach,carespotcares@gmail.com,12/22/2017,Member Clinic,,,,,,,Pompano Beach,Florida,United States,33062-7514,1611 S Federal Hwy,,http://ucaoa.site-ym.com/members/?id=15420372
CARESPOT PORT ST. LUCIE,772 878-7311 (Phone),"
772 878-7321 (Fax)",https://www.carespot.com/locations/florida/port-st-lucie,carespotcares@gmail.com,12/22/2017,Member Clinic,,,,,,,Port St Lucie,Florida,United States,34952-2271,784 E Prima Vista Blvd,,http://ucaoa.site-ym.com/members/?id=15420373
CARESPOT SOUTH ORANGE,407 418-9999 (Phone),"
407 418-9998 (Fax)",https://www.carespot.com/locations/florida/south-orange,carespotcares@gmail.com,12/22/2017,Member Clinic,,,,,,,Orlando,Florida,United States,32806,2323 South Orange Ave.,,http://ucaoa.site-ym.com/members/?id=15420375
CARESPOT SOUTHSIDE,904 248-3910 (Phone),"
904 248-3920 (Fax)",https://www.carespot.com/locations/florida/southside,carespotcares@gmail.com,12/22/2017,Member Clinic,,,,,,,Jacksonville,Florida,United States,32216-6353,8705 Perimeter Park Blvd,Ste 2,http://ucaoa.site-ym.com/members/?id=15420376
CARESPOT ST. AUGUSTINE,904 429-0001 (Phone),"
904 824-9338 (Fax)",https://www.carespot.com/locations/florida/st-augustine,carespotcares@gmail.com,12/22/2017,Member Clinic,,,,,,,Saint Augustine,Florida,United States,32086-6000,2095 US Highway 1 S,,http://ucaoa.site-ym.com/members/?id=15420377
CARESPOT TAMARAC,954 580-4100 (Phone),"
954 580-4100 (Fax)",https://www.carespot.com/locations/florida/tamarac,carespotcares@gmail.com,12/22/2017,Member Clinic,,,,,,,Tamarac,Florida,United States,33351-4326,10251 W Commercial Blvd,,http://ucaoa.site-ym.com/members/?id=15420378
CARESPOT VERO BEACH,772 257-3200 (Phone),"
772 257-0187 (Fax)",https://www.carespot.com/locations/florida/vero-beach,carespotcares@gmail.com,12/22/2017,Member Clinic,,,,,,,Vero Beach,Florida,United States,32966-4675,1820 58th Ave,Ste 110,http://ucaoa.site-ym.com/members/?id=15420379
CARESPOT WESTSIDE,904 378-0121 (Phone),"
904 378-0122 (Fax)",https://www.carespot.com/locations/florida/westside,carespotcares@gmail.com,12/22/2017,Member Clinic,,,,,,,Jacksonville,Florida,United States,32205-6212,5964 Normandy Blvd,,http://ucaoa.site-ym.com/members/?id=15420381
